"Time","Value","Var","Units","EPU"
1950,-0.158333333333333,"nao index","unitless","all"
1951,-0.07,"nao index","unitless","all"
1952,-0.495,"nao index","unitless","all"
1953,-0.0908333333333333,"nao index","unitless","all"
1954,-0.0858333333333333,"nao index","unitless","all"
1955,-0.5,"nao index","unitless","all"
1956,-0.173333333333333,"nao index","unitless","all"
1957,-0.2425,"nao index","unitless","all"
1958,-0.703333333333333,"nao index","unitless","all"
1959,0.286666666666667,"nao index","unitless","all"
1960,-0.56,"nao index","unitless","all"
1961,0.01,"nao index","unitless","all"
1962,-0.380833333333333,"nao index","unitless","all"
1963,-0.555,"nao index","unitless","all"
1964,-0.178333333333333,"nao index","unitless","all"
1965,-0.215833333333333,"nao index","unitless","all"
1966,-0.49,"nao index","unitless","all"
1967,0.341666666666667,"nao index","unitless","all"
1968,-1.03916666666667,"nao index","unitless","all"
1969,-0.188333333333333,"nao index","unitless","all"
1970,-0.3525,"nao index","unitless","all"
1971,-0.0425,"nao index","unitless","all"
1972,0.4875,"nao index","unitless","all"
1973,-0.159166666666667,"nao index","unitless","all"
1974,0.111666666666667,"nao index","unitless","all"
1975,-0.164166666666667,"nao index","unitless","all"
1976,0.184166666666667,"nao index","unitless","all"
1977,-0.415,"nao index","unitless","all"
1978,0.275,"nao index","unitless","all"
1979,0.0533333333333333,"nao index","unitless","all"
1980,-0.546666666666667,"nao index","unitless","all"
1981,-0.266666666666667,"nao index","unitless","all"
1982,0.363333333333333,"nao index","unitless","all"
1983,0.298333333333333,"nao index","unitless","all"
1984,0.228333333333333,"nao index","unitless","all"
1985,-0.28,"nao index","unitless","all"
1986,0.429166666666667,"nao index","unitless","all"
1987,-0.2225,"nao index","unitless","all"
1988,-0.0791666666666667,"nao index","unitless","all"
1989,0.6775,"nao index","unitless","all"
1990,0.606666666666667,"nao index","unitless","all"
1991,0.250833333333333,"nao index","unitless","all"
1992,0.5375,"nao index","unitless","all"
1993,0.155,"nao index","unitless","all"
1994,0.541666666666667,"nao index","unitless","all"
1995,-0.0933333333333334,"nao index","unitless","all"
1996,-0.249166666666667,"nao index","unitless","all"
1997,-0.204166666666667,"nao index","unitless","all"
1998,-0.5425,"nao index","unitless","all"
1999,0.330833333333333,"nao index","unitless","all"
2000,0.159166666666667,"nao index","unitless","all"
2001,-0.241666666666667,"nao index","unitless","all"
2002,0.00166666666666666,"nao index","unitless","all"
2003,0.0283333333333333,"nao index","unitless","all"
2004,0.156666666666667,"nao index","unitless","all"
2005,-0.314166666666667,"nao index","unitless","all"
2006,-0.3125,"nao index","unitless","all"
2007,0.105833333333333,"nao index","unitless","all"
2008,-0.4525,"nao index","unitless","all"
2009,-0.323333333333333,"nao index","unitless","all"
2010,-1.28666666666667,"nao index","unitless","all"
2011,0.204166666666667,"nao index","unitless","all"
2012,-0.53,"nao index","unitless","all"
2013,0.1475,"nao index","unitless","all"
2014,0.0875,"nao index","unitless","all"
2015,0.396666666666667,"nao index","unitless","all"
2016,-0.1175,"nao index","unitless","all"
2017,0.173333333333333,"nao index","unitless","all"
2018,1.1975,"nao index","unitless","all"
