"Time","Var","Value","EPU"
1996,"pbr",121,"All"
1996,"totalest1y",49,"All"
1996,"totalest5y",NA,"All"
1996,"total5yLCI",NA,"All"
1996,"total5yUCI",NA,"All"
1997,"pbr",121,"All"
1997,"totalest1y",131,"All"
1997,"totalest5y",NA,"All"
1997,"total5yLCI",NA,"All"
1997,"total5yUCI",NA,"All"
1998,"pbr",121,"All"
1998,"totalest1y",61,"All"
1998,"totalest5y",NA,"All"
1998,"total5yLCI",NA,"All"
1998,"total5yUCI",NA,"All"
1999,"pbr",NA,"All"
1999,"totalest1y",155,"All"
1999,"totalest5y",NA,"All"
1999,"total5yLCI",NA,"All"
1999,"total5yUCI",NA,"All"
2000,"pbr",NA,"All"
2000,"totalest1y",193,"All"
2000,"totalest5y",117.8,"All"
2000,"total5yLCI",69.58234486,"All"
2000,"total5yUCI",199.4304737,"All"
2001,"pbr",NA,"All"
2001,"totalest1y",117,"All"
2001,"totalest5y",131.4,"All"
2001,"total5yLCI",78.96487241,"All"
2001,"total5yUCI",218.6536807,"All"
2002,"pbr",NA,"All"
2002,"totalest1y",NA,"All"
2002,"totalest5y",131.5,"All"
2002,"total5yLCI",73.19910111,"All"
2002,"total5yUCI",236.2358245,"All"
2003,"pbr",NA,"All"
2003,"totalest1y",242,"All"
2003,"totalest5y",176.75,"All"
2003,"total5yLCI",105.9866191,"All"
2003,"total5yUCI",294.7594968,"All"
2004,"pbr",NA,"All"
2004,"totalest1y",573,"All"
2004,"totalest5y",281.25,"All"
2004,"total5yLCI",182.9828846,"All"
2004,"total5yUCI",432.2894062,"All"
2005,"pbr",NA,"All"
2005,"totalest1y",574,"All"
2005,"totalest5y",376.5,"All"
2005,"total5yLCI",243.5306082,"All"
2005,"total5yUCI",582.0715968,"All"
2006,"pbr",NA,"All"
2006,"totalest1y",248,"All"
2006,"totalest5y",409.25,"All"
2006,"total5yLCI",269.8761227,"All"
2006,"total5yUCI",620.6016332,"All"
2007,"pbr",NA,"All"
2007,"totalest1y",886,"All"
2007,"totalest5y",504.6,"All"
2007,"total5yLCI",367.4455602,"All"
2007,"total5yUCI",692.9493443,"All"
2008,"pbr",NA,"All"
2008,"totalest1y",618,"All"
2008,"totalest5y",579.8,"All"
2008,"total5yLCI",436.5712311,"All"
2008,"total5yUCI",770.0187645,"All"
2009,"pbr",NA,"All"
2009,"totalest1y",1123,"All"
2009,"totalest5y",689.8,"All"
2009,"total5yLCI",528.4859446,"All"
2009,"total5yUCI",900.3532542,"All"
2010,"pbr",NA,"All"
2010,"totalest1y",1450,"All"
2010,"totalest5y",865,"All"
2010,"total5yLCI",674.6400359,"All"
2010,"total5yUCI",1109.072928,"All"
2011,"pbr",NA,"All"
2011,"totalest1y",1593,"All"
2011,"totalest5y",1134,"All"
2011,"total5yLCI",912.4695214,"All"
2011,"total5yUCI",1409.313922,"All"
2012,"pbr",NA,"All"
2012,"totalest1y",623.33,"All"
2012,"totalest5y",1081.466,"All"
2012,"total5yLCI",869.4177783,"All"
2012,"total5yUCI",1345.232106,"All"
2013,"pbr",NA,"All"
2013,"totalest1y",1175.85,"All"
2013,"totalest5y",1193.036,"All"
2013,"total5yLCI",971.240859,"All"
2013,"total5yUCI",1465.480868,"All"
2014,"pbr",NA,"All"
2014,"totalest1y",965.47,"All"
2014,"totalest5y",1161.53,"All"
2014,"total5yLCI",956.1583905,"All"
2014,"total5yUCI",1411.013023,"All"
2015,"pbr",1389,"All"
2015,"totalest1y",1058.9,"All"
2015,"totalest5y",1083.31,"All"
2015,"total5yLCI",902.9705821,"All"
2015,"total5yUCI",1299.666434,"All"
2016,"pbr",1389,"All"
2016,"totalest1y",531.37,"All"
2016,"totalest5y",870.984,"All"
2016,"total5yLCI",722.4202801,"All"
2016,"total5yUCI",1050.099435,"All"
2017,"pbr",1389,"All"
2017,"totalest1y",972.14,"All"
2017,"totalest5y",940.746,"All"
2017,"total5yLCI",787.2480628,"All"
2017,"total5yUCI",1124.173025,"All"
2018,"pbr",1389,"All"
2018,"totalest1y",1113.42,"All"
2018,"totalest5y",928.26,"All"
2018,"total5yLCI",749.15665,"All"
2018,"total5yUCI",1150.182178,"All"
2019,"pbr",1458,"All"
2019,"totalest1y",2037.15,"All"
2019,"totalest5y",1142.596,"All"
2019,"total5yLCI",930.5917125,"All"
2019,"total5yUCI",1402.898394,"All"
2020,"pbr",1458,"All"
2020,"totalest1y",1366.36,"All"
2020,"totalest5y",1204.088,"All"
2020,"total5yLCI",966.2316334,"All"
2020,"total5yUCI",1500.497253,"All"
2021,"pbr",1512,"All"
2021,"totalest1y",1033.97,"All"
2021,"totalest5y",1304.608,"All"
2021,"total5yLCI",1008.27264,"All"
2021,"total5yUCI",1688.037507,"All"
2022,"pbr",NA,"All"
2022,"totalest1y",618.79,"All"
2022,"totalest5y",1233.938,"All"
2022,"total5yLCI",948.4285733,"All"
2022,"total5yUCI",1605.395526,"All"
