Year,Fall,Spring
1976,40285.28,49992.36
1977,36481.04,44815.84
1978,29882.44,38649.89
1979,34066.34,36823.67
1980,39127.38,40871.55
1981,39342.07,39287.13
1982,41622.14,38064.88
1983,41157.83,43022.76
1984,44412.37,43788.28
1985,47875.91,49107.48
1986,41729.02,47139.16
1987,38011.02,42704.26
1988,34068.34,41399.86
1989,37540.23,46414.9
1990,39820.36,44762.54
1991,31912.42,49782.31
1992,39631.17,44333.86
1993,33481.22,47976.43
1994,41417.93,45443.02
1995,45805.66,47034.3
1996,40040.03,41604.67
1997,45752.42,52777.88
1998,40891.48,50094.17
1999,50593.9,55584.26
2000,49156.24,63205.09
2001,45695.25,60823.21
2002,49231.42,76064.54
2003,45570,63295.31
2004,46376.29,62764.63
2005,41623.39,61199.89
2006,51360.12,69643.44
2007,47816.93,63479.72
2008,52590.08,70552.42
2009,55518.47,64325.78
2010,53977.98,67432.17
2011,54861.88,76658.71
2012,56499.31,98537.73
2013,52408.6,79384.54
2014,62780.83,77559.05
2015,57771.11,78149.68
2016,63154.5,89103.56
2017,61121.5,83256.22
2018,61082.14,85385.05
