SP_CODE,COMMON_NAME,SP_CATEGORY,COMMON_POP
8708030101,BONNETHEAD,SmallCoastal,
8708030102,SMOOTH HAMMERHEAD,LargeCoastal,SHARK HAMMERHEAD SMOOTH 
8708030103,SCALLOPED HAMMERHEAD SHARK,LargeCoastal,SHARK HAMMERHEAD SCALLOPED
8708030104,GREAT HAMMERHEAD,LargeCoastal,SHARK HAMMERHEAD GREAT
8711010102,ATLANTIC ANGEL SHARK,Prohibited,
8705020101,SIXGILL SHARK,Prohibited,
8705020201,SEVENGILL SHARK,Prohibited,
8707020101,NURSE SHARK,LargeCoastal,
8707030101,SAND TIGER,Prohibited,SHARK SAND TIGER
8707040101,WHITE SHARK,Prohibited,
8707040201,BASKING SHARK,Prohibited,
8707040302,PORBEAGLE,Pelagic,SHARK PORBEAGLE
8707040401,THRESHER SHARK,Pelagic,SHARK THRESHER COMMON
8707040402,BIGEYE THRESHER,Prohibited,SHARK THRESHER BIGEYE
8707040501,SHORTFIN MAKO,Pelagic,SHARK MAKO SHORTFIN
8708020201,TIGER SHARK,LargeCoastal,SHARK TIGER
8708020301,ATLANTIC SHARPNOSE SHARK,SmallCoastal,SHARK ATLANTIC SHARPNOSE
8708020501,DUSKY SHARK,Prohibited,SHARK DUSKY
8708020502,BULL SHARK,LargeCoastal,SHARK BULL 
8708020503,SANDBAR SHARK,LargeCoastal,SHARK SANDBAR
8708020504,BLACKNOSE SHARK,SmallCoastal,SHARK BLACKNOSE
8708020505,BIGNOSE SHARK,Prohibited,SHARK BIGNOSE
8708020506,SILKY SHARK,LargeCoastal,SHARK SILKY
8708020507,BLACKTIP SHARK,LargeCoastal,SHARK BLACKTIP
8708020508,OCEANIC WHITETIP SHARK,Pelagic,SHARK OCEANIC WHITETIP
8708020509,SPINNER SHARK,LargeCoastal,SHARK SPINNER
8708020601,BLUE SHARK,Pelagic,SHARK BLUE
8708020701,NIGHT SHARK,Prohibited,SHARK NIGHT
8708020801,LEMON SHARK,LargeCoastal,
8708021001,FINETOOTH SHARK,SmallCoastal,SHARK FINETOOTH
