YEAR,Apex Predator,Benthivore,Benthos,Planktivore,Piscivore,Other
1986,1.239377883,-142.2959569,0.247219581,-42.20486006,-9.142389067,-157.7584025
1987,2.646379124,-147.3311031,22.06026377,-36.70309531,-11.20312428,-146.0585892
1988,-1.228418636,-123.113621,7.370029781,-34.85191089,-7.08535228,-170.0693787
1989,-2.695677774,45.55092601,33.41410403,-21.5921673,-5.861067661,-33.02065147
1990,-3.233289143,91.24097367,19.02906037,-18.81731979,6.36186639,-29.0535687
1991,8.816018633,75.50362015,20.6787812,7.978830759,14.79449693,-18.98524192
1992,5.070361569,-18.54950991,34.77676776,9.074900443,15.01771425,-10.99845237
1993,-2.083479379,105.9844633,31.12335687,1.842648325,16.85723514,16.1974918
1994,0.003443818,40.47473915,32.18644816,1.489114262,7.838188674,11.3977114
1995,4.380870063,38.8648619,21.59139123,11.05773922,19.23838495,9.937734763
1996,0.923405487,19.2163838,8.762108994,21.37257175,25.58072115,29.75318962
1997,3.039054684,41.92196342,-38.77766149,21.65126277,31.8857118,40.18379557
1998,-4.420406514,2.905268244,-41.56639185,24.81294727,37.31663365,34.87462793
1999,2.513506702,14.50352844,-24.97034645,7.07546462,23.70722246,34.53309008
2000,4.51315063,-22.65827382,-2.453653519,3.356972156,10.43881698,54.55829722
2001,-1.193283005,35.57404134,49.74632609,-3.37333727,-1.613416967,104.8320457
2002,-2.316432044,-8.521489263,70.65195609,-1.443097438,-11.77084534,51.35859558
2003,-5.956097334,0.502433439,92.09303894,10.52077832,-13.8005721,45.82789623
2004,0.472008016,88.96092352,95.67515724,44.35547138,-7.364381728,32.39133224
2005,-4.485947772,13.43186855,41.75938855,20.25084259,-8.750549636,17.53048484
2006,2.519601416,-58.61890426,-8.828993397,36.08016705,-16.45305439,-52.69149563
2007,2.044707135,7.224526262,56.37115378,-3.341404527,-13.71178383,5.695184547
2008,0.452973965,2.04135909,38.03420691,5.841930206,-10.33695705,52.57664693
2009,-0.67206273,-3.323314804,35.06617085,12.95899351,-13.20781358,20.49171526
2010,-0.910575745,-135.489472,2.723426046,-5.268759396,-18.65039682,-50.80220757
2011,1.851034835,41.12340699,-31.97805237,-14.7625428,-0.845430576,-11.9617566
2012,5.549842265,19.61606661,-95.98732456,-7.14748958,0.408723658,-8.317079314
2013,-4.067975434,-37.58195529,-137.0531993,-18.04141398,-17.79141308,-15.66817834
2014,-5.144439992,-39.34106524,-137.1692837,-17.36361555,-11.6757278,-28.51788133
2015,-4.101664839,-9.125921288,-131.4245442,-25.07103778,-15.29497358,-53.35724108
2016,-2.526875368,15.27177874,-116.5642231,-18.9834233,-12.47367016,-67.84150435
2017,-2.403513518,-19.79009021,-94.19885343,-23.36771977,-14.40986508,-62.40444202
