"YR","alongshelf","depth","coast"
1968,764.18425362147,112.868576534619,110.19907736756
1969,772.95891569114,126.677222992477,113.26196070313
1970,800.339263367566,115.628783260399,109.270317100528
1971,786.030806661665,115.289681750804,111.057567246343
1972,826.482715876513,117.137641648816,114.858520422075
1973,782.816971333756,94.5499843352944,90.9721344213763
1974,827.40503207811,97.7921961767186,99.4553365269987
1975,864.922821483189,113.458793600817,107.954220203977
1976,799.294704308566,100.526821672634,99.1909192830798
1977,791.682549303099,106.765831310595,99.9763175080467
1978,770.650202285402,109.130265011881,99.7791992535764
1979,810.943823162856,104.307140268411,98.9261081509511
1980,784.031771840822,105.119981253881,97.4384499036502
1981,797.425150712149,109.805977442773,102.133421050529
1982,792.852210698099,114.887483599256,102.644990568177
1983,808.383897673013,111.509137318106,100.667969591688
1984,782.253832962459,106.584682411192,95.6594621911136
1985,817.383303837196,112.077216694355,104.159056522241
1986,812.571143188796,113.057847573481,104.815634071528
1987,817.360932061435,118.358768640994,104.447665506829
1988,817.857639981195,108.346092366941,95.1372546050777
1989,796.850788858386,109.518308207237,96.2510747477223
1990,799.083735141431,107.748289908336,95.0054129527898
1991,820.400998408851,105.97499278035,100.066699199309
1992,828.643206514271,108.154280143332,102.692096357627
1993,817.485114422164,108.443908565419,104.338924881164
1994,843.903221928015,114.506094445161,108.324253749077
1995,858.508110533903,108.63882327722,102.528479549374
1996,829.080592990574,114.403856616824,108.111966223189
1997,826.614982246441,103.977499654221,98.7344333580818
1998,838.262880957979,114.229579885616,93.3785515808186
1999,831.701870371909,105.430275947754,99.3657048257042
2000,860.076673639124,104.452860583453,101.129033843998
2001,842.741464403395,113.854581892171,103.15432425202
2002,860.869969429,109.056306629514,95.774818763765
2003,851.942213248238,116.684165102724,106.914251380274
2004,823.740995373554,116.373302720425,104.444148842022
2005,839.532346110416,119.173677762951,111.568105608961
2006,856.158663420243,108.97962109421,103.057545755038
2007,844.919846485234,119.963507851756,109.156834625119
2008,856.845516587316,113.147893364352,106.507380114217
2009,848.961252243528,112.568281852654,102.115384478508
2010,841.917309108921,117.211712586263,104.53095258694
2011,834.988823977164,119.571317951009,108.110982360034
2012,864.906035586109,108.918808944946,96.3533621378864
2013,873.656199804377,113.804635782289,107.863885493372
2014,914.463158606648,118.295770318996,108.714435893931
2015,868.983032213189,121.197928313181,108.499096152733
2016,886.079309739802,107.616808651095,99.4357431810334
2017,870.954707093274,121.119447748063,110.386214446626
2018,836.937182679065,116.383691567797,105.516259030152
2019,879.688074677179,117.431375963645,108.756358725135
2021,935.199799315337,119.306244577192,112.615490742649
2022,922.318584975932,117.943927940897,114.544152546285
2024,892.102215666453,119.360793677524,106.197749577612
